word,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,one,two,three,four,five,one_val,two_val,three_val,four_val,five_val,two_match,three_match,four_match,five_match,word_score,popularity_score
aargh,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,a,r,g,h,0.082313053,0.082313053,0.067281974,0.024185346,0.029572424,0,1,1,1,0.2034,1.83
abaca,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,a,c,a,0.082313053,0.026294971,0.082313053,0.035524581,0.082313053,1,0,1,0,0.1441,1.77
abaci,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,a,c,i,0.082313053,0.026294971,0.082313053,0.035524581,0.058052364,1,0,1,1,0.2022,1.19
aback,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,a,c,k,0.082313053,0.026294971,0.082313053,0.035524581,0.021171595,1,0,1,1,0.1653,2.99
abaft,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,a,b,a,f,t,0.082313053,0.026294971,0.082313053,0.018722923,0.054548879,1,0,1,1,0.1819,1.8
abase,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,b,a,s,e,0.082313053,0.026294971,0.082313053,0.098398945,0.09949143,1,0,1,1,0.3065,1.56
abash,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,b,a,s,h,0.082313053,0.026294971,0.082313053,0.098398945,0.029572424,1,0,1,1,0.2366,1.02
abate,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,a,b,a,t,e,0.082313053,0.026294971,0.082313053,0.054548879,0.09949143,1,0,1,1,0.2626,2.68
abaya,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,b,a,y,a,0.082313053,0.026294971,0.082313053,0.032586174,0.082313053,1,0,1,0,0.1412,2.24
abbey,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,b,b,e,y,0.082313053,0.026294971,0.026294971,0.09949143,0.032586174,1,0,1,1,0.2407,3.88
abbot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,a,b,b,o,t,0.082313053,0.026294971,0.026294971,0.063514786,0.054548879,1,0,1,1,0.2267,3.43
abeam,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,e,a,m,0.082313053,0.026294971,0.09949143,0.082313053,0.029610096,1,1,0,1,0.2377,1.75
abets,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,a,b,e,t,s,0.082313053,0.026294971,0.09949143,0.054548879,0.098398945,1,1,1,1,0.361,1.62
abhor,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,a,b,h,o,r,0.082313053,0.026294971,0.029572424,0.063514786,0.067281974,1,1,1,1,0.269,2.64
abide,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,i,d,e,0.082313053,0.026294971,0.058052364,0.041062347,0.09949143,1,1,1,1,0.3072,3.59
abled,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,l,e,d,0.082313053,0.026294971,0.053870785,0.09949143,0.041062347,1,1,1,1,0.303,2.29
abler,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,b,l,e,r,0.082313053,0.026294971,0.053870785,0.09949143,0.067281974,1,1,1,1,0.3293,1.29
abode,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a,b,o,d,e,0.082313053,0.026294971,0.063514786,0.041062347,0.09949143,1,1,1,1,0.3127,3.13
abort,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,a,b,o,r,t,0.082313053,0.026294971,0.063514786,0.067281974,0.054548879,1,1,1,1,0.294,3.27
about,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,a,b,o,u,t,0.082313053,0.026294971,0.063514786,0.039969862,0.054548879,1,1,1,1,0.2666,6.4
above,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,a,b,o,v,e,0.082313053,0.026294971,0.063514786,0.011602938,0.09949143,1,1,1,1,0.2832,5.2
absit,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,a,b,s,i,t,0.082313053,0.026294971,0.098398945,0.058052364,0.054548879,1,1,1,1,0.3196,1
abuse,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,a,b,u,s,e,0.082313053,0.026294971,0.039969862,0.098398945,0.09949143,1,1,1,1,0.3465,4.66
abuts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,a,b,u,t,s,0.082313053,0.026294971,0.039969862,0.054548879,0.098398945,1,1,1,1,0.3015,2.27
abuzz,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,a,b,u,z,z,0.082313053,0.026294971,0.039969862,0.004520625,0.004520625,1,1,1,0,0.1531,2.3
abyss,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,a,b,y,s,s,0.082313053,0.026294971,0.032586174,0.098398945,0.098398945,1,1,1,0,0.2396,3.4
ached,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,c,h,e,d,0.082313053,0.035524581,0.029572424,0.09949143,0.041062347,1,1,1,1,0.288,2.41
aches,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,c,h,e,s,0.082313053,0.035524581,0.029572424,0.09949143,0.098398945,1,1,1,1,0.3453,3.28
achoo,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a,c,h,o,o,0.082313053,0.035524581,0.029572424,0.063514786,0.063514786,1,1,1,0,0.2109,1.7
acids,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,c,i,d,s,0.082313053,0.035524581,0.058052364,0.041062347,0.098398945,1,1,1,1,0.3154,3.85
acing,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,c,i,n,g,0.082313053,0.035524581,0.058052364,0.045884347,0.024185346,1,1,1,1,0.246,2.02
ackee,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,c,k,e,e,0.082313053,0.035524581,0.021171595,0.09949143,0.09949143,1,1,1,0,0.2385,1.6
acmes,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,a,c,m,e,s,0.082313053,0.035524581,0.029610096,0.09949143,0.098398945,1,1,1,1,0.3453,1
acned,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,c,n,e,d,0.082313053,0.035524581,0.045884347,0.09949143,0.041062347,1,1,1,1,0.3043,1
acnes,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,a,c,n,e,s,0.082313053,0.035524581,0.045884347,0.09949143,0.098398945,1,1,1,1,0.3616,1.66
acorn,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,a,c,o,r,n,0.082313053,0.035524581,0.063514786,0.067281974,0.045884347,1,1,1,1,0.2945,3.08
acres,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,a,c,r,e,s,0.082313053,0.035524581,0.067281974,0.09949143,0.098398945,1,1,1,1,0.383,4.17
acrid,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,c,r,i,d,0.082313053,0.035524581,0.067281974,0.058052364,0.041062347,1,1,1,1,0.2842,2.37
acted,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,a,c,t,e,d,0.082313053,0.035524581,0.054548879,0.09949143,0.041062347,1,1,1,1,0.3129,4.28
actor,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,a,c,t,o,r,0.082313053,0.035524581,0.054548879,0.063514786,0.067281974,1,1,1,1,0.3032,4.65
acute,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,a,c,u,t,e,0.082313053,0.035524581,0.039969862,0.054548879,0.09949143,1,1,1,1,0.3118,4
adage,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,d,a,g,e,0.082313053,0.041062347,0.082313053,0.024185346,0.09949143,1,0,1,1,0.2471,2.95
adapt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,a,d,a,p,t,0.082313053,0.041062347,0.082313053,0.032774534,0.054548879,1,0,1,1,0.2107,3.98
added,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,d,d,e,d,0.082313053,0.041062347,0.041062347,0.09949143,0.041062347,1,0,1,0,0.2229,5.16
adder,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,d,d,e,r,0.082313053,0.041062347,0.041062347,0.09949143,0.067281974,1,0,1,1,0.2901,2.69
addle,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,d,d,l,e,0.082313053,0.041062347,0.041062347,0.053870785,0.09949143,1,0,1,1,0.2767,1.69
adept,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,a,d,e,p,t,0.082313053,0.041062347,0.09949143,0.032774534,0.054548879,1,1,1,1,0.3102,3.33
adieu,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,a,d,i,e,u,0.082313053,0.041062347,0.058052364,0.09949143,0.039969862,1,1,1,1,0.3209,2.83
adios,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,a,d,i,o,s,0.082313053,0.041062347,0.058052364,0.063514786,0.098398945,1,1,1,1,0.3433,2.68
adits,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,a,d,i,t,s,0.082313053,0.041062347,0.058052364,0.054548879,0.098398945,1,1,1,1,0.3344,1.4
adlib,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,d,l,i,b,0.082313053,0.041062347,0.053870785,0.058052364,0.026294971,1,1,1,1,0.2616,1.76
adman,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a,d,m,a,n,0.082313053,0.041062347,0.029610096,0.082313053,0.045884347,1,1,0,1,0.1989,1.51
admen,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a,d,m,e,n,0.082313053,0.041062347,0.029610096,0.09949143,0.045884347,1,1,1,1,0.2984,1.11
