word,zipf
aa,4.72
aah,2.76
aahs,1.66
aal,2.72
aals,1.91
aardvark,3.03
aardvarks,1.77
aardwolf,1.6
aargh,2.09
aas,3.35
ab,4.61
aba,3.67
abaca,2.13
aback,2.67
abacus,3.24
abaft,1.51
abalone,2.95
abandon,3.67
abandoned,4.03
abandoning,3.12
abandonment,3.34
abandonments,1.48
abandons,2.75
abas,2.06
abase,1.7
abased,1.61
abasement,2.03
abashed,1.91
abate,2.9
abated,2.63
abatement,3.44
abatements,2.15
abates,1.79
abating,2.19
abattoir,2.43
abattoirs,2.19
abaxial,1.68
abba,3.45
abbas,3.39
abbe,2.71
abbes,1.63
abbess,2.16
abbesses,1.4
abbey,3.86
abbeys,2.34
abbot,3.23
abbots,2.47
abbreviate,2.38
abbreviated,3.32
abbreviates,1.54
abbreviating,1.57
abbreviation,3.46
abbreviations,3.8
abdicate,2.32
abdicated,2.17
abdicates,1.55
abdicating,1.66
abdication,2.34
abdomen,3.4
abdomens,1.62
abdominal,3.72
abduct,2.33
abducted,3.15
abducting,1.99
abduction,3.31
abductions,2.65
abductor,2.15
abductors,2.15
abducts,1.59
abeam,1.47
abecedarian,1.53
abed,2.4
abele,2.03
abeles,1.73
abelia,1.64
abelian,2.96
aberrant,2.8
aberration,2.88
aberrations,2.89
abet,2.69
abets,1.75
abetted,2.39
abetting,2.6
abettor,1.51
abeyance,2.35
abhor,2.46
abhorred,2.12
abhorrence,2.2
abhorrent,2.45
abhors,2.07
abide,3.8
abided,1.95
abides,2.6
abiding,3.21
abigail,3.44
abilities,4.11
ability,4.95
abiogenesis,2.06
abiotic,2.63
abject,2.73
abjection,1.42
abjectly,1.55
abjuration,1.77
abjure,1.68
abjured,1.88
ablate,1.54
ablated,1.86
ablation,3.03
ablations,1.37
ablative,2.23
ablaze,2.74
able,5.27
abled,2.32
abler,1.7
ables,2.63
ablest,2.03
ablution,2.37
ablutions,1.81
ably,2.86
abnegation,1.65
abnormal,3.83
abnormalities,3.54
abnormality,2.97
abnormally,2.93
abo,2.96
aboard,3.84
abode,3.33
abodes,2.08
abolish,3.19
abolished,3.35
abolishes,2.28
abolishing,2.75
abolishment,2.17
abolition,3.28
abolitionism,1.83
abolitionist,2.59
abolitionists,2.35
abominable,2.73
abominably,1.56
abomination,2.83
abominations,2.39
aboriginal,4.08
aboriginals,2.46
aborigine,2.2
aborigines,2.82
abort,3.43
aborted,3.21
abortifacient,1.82
aborting,2.59
abortion,4.2
abortionist,2.06
abortionists,2.12
abortions,3.36
abortive,2.48
aborts,2.55
abound,3.41
abounded,2.29
abounding,2.36
abounds,2.77
about,6.32
above,5.38
aboveboard,1.35
aboveground,2.61
abracadabra,2.48
abrade,1.64
abraded,1.98
abrading,1.79
abrasion,3.15
abrasions,2.47
abrasive,3.33
abrasives,3.09
abreast,3.11
abri,2.25
abridge,2.21
abridged,3.39
abridgement,1.99
abridging,2.0
abridgment,2.0
abris,1.56
abroad,4.4
abrogate,2.37
abrogated,2.44
abrogates,1.78
abrogating,1.76
abrogation,2.34
abrupt,3.19
abruption,1.79
abruptly,3.25
abruptness,1.72
abs,4.13
abscess,2.96
abscessed,1.35
abscesses,2.46
abscissa,2.12
abscission,1.62
abscond,1.73
absconded,1.91
absconder,1.37
absconding,1.85
abseil,2.01
abseiling,2.45
absence,4.4
absences,3.26
absent,4.18
absented,1.59
absentee,3.32
absenteeism,2.84
absentees,2.03
absently,2.19
absentminded,1.48
absentmindedly,1.64
absents,1.35
absinth,2.18
absinthe,3.01
absolute,4.44
absolutely,4.55
absoluteness,1.56
absolutes,2.58
absolution,2.65
absolutism,2.31
absolutist,2.29
absolutists,1.38
absolve,2.45
absolved,2.29
absolves,1.75
absolving,1.7
absorb,3.61
absorbable,2.31
absorbance,2.74
absorbant,1.66
absorbed,3.73
absorbency,2.24
absorbent,3.13
absorbents,2.19
absorber,3.12
absorbers,2.96
absorbing,3.44
absorbs,3.06
absorption,3.95
absorptions,1.78
absorptive,2.45
absorptivity,1.53
abstain,3.16
abstained,2.62
abstainers,1.55
abstaining,2.57
abstains,1.86
abstemious,1.43
abstention,2.56
abstentions,2.69
abstinence,3.3
abstinent,2.03
abstract,4.98
abstracted,2.89
abstractedly,1.41
abstracting,2.76
abstraction,3.6
abstractions,3.05
abstractly,2.19
abstractness,1.73
abstractor,1.82
abstractors,1.76
abstracts,4.08
abstruse,2.13
absurd,3.56
absurdist,2.03
absurdities,2.43
absurdity,2.97
absurdly,2.53
abundance,3.92
abundances,2.83
abundant,3.77
abundantly,2.96
abuse,4.79
abused,3.75
abuser,2.86
abusers,3.09
abuses,3.64
abusing,3.23
abusive,3.73
abusively,1.54
abut,2.5
abutilon,1.86
abutment,2.49
abutments,2.19
abuts,2.26
abutted,1.63
abutter,1.42
abutters,1.67
abutting,2.73
abuzz,2.24
aby,2.72
abysmal,2.82
abysmally,1.82
abyss,3.29
abyssal,2.16
abysses,1.62
acacia,3.25
acacias,2.08
academe,2.82
academia,3.57
academic,4.97
academical,1.99
academically,3.15
academician,2.32
academicians,2.37
academics,4.07
academies,3.53
academy,4.7
acanthus,2.45
acari,2.13
accede,2.52
acceded,2.48
acceder,1.98
accedes,1.62
acceding,2.42
accelerando,1.51
